# wavelength	flux
5.318746772172579540e+02	6.782750579860949772e-15
5.318946103086351513e+02	1.342349650963118972e-15
5.319145434000123487e+02	1.082873262494557162e-14
5.319344764913895460e+02	-1.455573434407195915e-14
5.319544095827666297e+02	-3.567039970553886538e-15
5.319743426741438270e+02	8.773286687996264925e-16
5.319942757655210244e+02	6.595607967527531909e-15
5.320142088568982217e+02	1.547097207830507026e-14
5.320341419482754191e+02	5.031547654378836637e-15
5.320540750396526164e+02	3.238227921418634740e-15
5.320740081310297001e+02	-1.753550159658073208e-15
5.320939412224068974e+02	7.986234261319409729e-16
5.321138743137840947e+02	-8.961661097993227354e-15
5.321338074051612921e+02	9.304214774390022480e-15
5.321537404965384894e+02	5.120339577140663179e-15
5.321736735879156868e+02	-1.057478113593041807e-14
5.321936066792927704e+02	1.281049918921972619e-14
5.322135397706699678e+02	-1.557935735544454647e-15
5.322334728620471651e+02	6.562828215985264113e-15
5.322534059534243625e+02	9.301248465008737920e-15
5.322733390448015598e+02	-8.380595860902066881e-16
5.322932721361787571e+02	5.158985031842667004e-15
5.323132052275558408e+02	-6.830660880940021135e-15
5.323331383189330381e+02	-4.406833327208004372e-15
5.323530714103102355e+02	-4.496484988411294029e-15
5.323730045016874328e+02	3.035497149998659175e-15
5.323929375930646302e+02	8.113223770112379385e-15
5.324128706844418275e+02	7.149409543387181404e-15
5.324328037758189112e+02	-5.522054693254908539e-15
5.324527368671961085e+02	1.000102558141582540e-14
5.324726699585733058e+02	-3.642403880002890657e-15
5.324926030499505032e+02	2.205836848492544536e-15
5.325125361413277005e+02	-8.359490129197094666e-15
5.325324692327048979e+02	2.960171780548755127e-15
5.325524023240819815e+02	6.396258339874758697e-15
5.325723354154591789e+02	1.218085047161466400e-15
5.325922685068363762e+02	-8.262345826300630282e-16
5.326122015982135736e+02	9.704657647017491881e-16
5.326321346895907709e+02	2.381352154855707892e-14
5.326520677809679682e+02	-3.814932209380856448e-15
5.326720008723450519e+02	6.482333616216503884e-16
5.326919339637222492e+02	1.132111118311860190e-14
5.327118670550994466e+02	1.466306675925799826e-15
5.327318001464766439e+02	2.946799671410451488e-15
5.327517332378538413e+02	-4.304998791124356114e-15
